,Date,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
118,1600804552,port alfred,ZA,-33.59,26.89,59.16,77,0,9.06
119,1600805051,diego de almagro,CL,-26.37,-70.05,83.48,15,0,12.21
120,1600804557,coihaique,CL,-45.58,-72.07,48.2,45,75,33.33
121,1600804727,cayenne,GF,4.93,-52.33,87.8,66,12,14.99
122,1600805051,bull savanna,JM,17.89,-77.59,82.96,69,100,4.65
123,1600805052,buyo,PH,13.11,123.87,78.12,86,87,3.44
124,1600804539,shingu,JP,33.73,135.98,69.28,88,100,16.42
125,1600805052,terenos,BR,-20.44,-54.86,75.2,64,75,6.93
126,1600805052,wadena,US,46.44,-95.14,82.4,30,1,4.7
127,1600804747,yar-sale,RU,66.83,70.83,39.81,76,94,13.38
128,1600805052,jensen beach,US,27.25,-80.23,86.0,45,40,16.11
129,1600805052,hailar,CN,49.2,119.7,45.61,93,100,3.87
130,1600805053,bluff,NZ,-46.6,168.33,53.01,93,64,5.99
131,1600805053,provideniya,RU,64.38,-173.3,41.0,69,1,4.47
132,1600804581,upernavik,GL,72.79,-56.15,27.86,85,50,4.21
133,1600804533,castro,BR,-24.79,-50.01,61.32,66,60,12.12
134,1600804569,fairbanks,US,64.84,-147.72,46.0,86,1,1.16
135,1600805053,port antonio,JM,18.18,-76.46,88.0,66,40,11.41
136,1600804728,fortuna,US,40.6,-124.16,71.01,72,75,8.05
137,1600804565,alice springs,AU,-23.7,133.88,53.6,30,0,9.64
138,1600805053,lavrentiya,RU,65.58,-171.0,38.52,89,87,8.03
139,1600805054,naze,JP,28.37,129.48,80.6,88,75,18.34
140,1600805054,nautla,MX,20.22,-96.78,84.34,56,0,9.13
141,1600805054,mahebourg,MU,-20.41,57.7,69.8,73,40,5.82
142,1600805054,kitui,KE,-1.37,38.01,67.39,70,46,9.93
143,1600805055,vila franca do campo,PT,37.72,-25.43,69.8,73,20,10.29
144,1600804965,donna,US,26.17,-98.05,91.99,52,40,9.17
145,1600804531,geraldton,AU,-28.77,114.6,48.2,93,0,6.93
146,1600805055,mogadishu,SO,2.04,45.34,78.24,86,56,14.65
147,1600805055,tiznit,MA,29.58,-9.5,77.05,37,70,7.31
148,1600805056,beringovskiy,RU,63.05,179.32,41.22,67,48,6.69
149,1600805056,yenagoa,NG,4.92,6.26,75.4,93,99,4.27
150,1600804825,acton,GB,51.51,-0.28,66.0,77,75,11.41
151,1600805056,kalat,PK,29.02,66.59,61.59,29,0,2.42
152,1600804565,necochea,AR,-38.55,-58.74,70.0,42,51,18.01
153,1600805056,lethem,GY,3.38,-59.8,94.86,45,44,4.23
154,1600805056,saint-joseph,RE,-21.37,55.62,66.2,68,18,6.93
155,1600804392,port hedland,AU,-20.32,118.57,62.6,48,0,4.7
156,1600805057,sao miguel do araguaia,BR,-13.28,-50.16,76.66,78,98,12.15
157,1600804396,longyearbyen,SJ,78.22,15.64,35.6,69,40,6.93
158,1600805057,santa cruz de la palma,ES,28.68,-17.76,75.2,83,40,11.41
159,1600805057,qaqortoq,GL,60.72,-46.03,42.8,30,5,5.82
160,1600805029,laguna,US,38.42,-121.42,84.99,41,1,4.5
161,1600804910,anchorage,US,61.22,-149.9,50.0,76,75,3.36
162,1600804362,puerto ayora,EC,-0.74,-90.35,71.01,78,96,8.01
163,1600805058,severo-kurilsk,RU,50.68,156.12,47.91,85,65,9.4
164,1600804414,victoria,HK,22.29,114.16,84.0,81,70,10.6
165,1600805058,vardo,NO,70.37,31.11,44.6,87,75,3.36
166,1600805059,kudahuvadhoo,MV,2.67,72.89,82.15,78,100,12.59
167,1600805059,homestead,US,25.47,-80.48,86.0,58,20,13.87
168,1600805059,monrovia,LR,6.3,-10.8,77.86,86,85,9.19
169,1600805059,hammerfest,NO,70.66,23.68,42.8,81,75,38.03
170,1600805060,betsiamites,CA,48.94,-68.65,51.8,76,1,5.82
171,1600805060,arrifes,PT,37.77,-25.7,69.8,73,20,10.29
172,1600805060,andenes,NO,69.31,16.12,44.6,75,75,17.22
173,1600804898,terrace,CA,54.52,-128.6,48.2,100,75,1.14
174,1600805061,ninghai,CN,29.29,121.42,69.8,88,98,2.24
175,1600804555,chokurdakh,RU,70.63,147.92,40.87,94,100,8.48
176,1600805061,acarau,BR,-2.89,-40.12,80.56,71,3,20.96
177,1600804323,lagoa,PT,39.05,-27.98,68.04,81,78,12.93
178,1600805061,kurchum,KZ,48.57,83.65,59.09,52,100,1.01
179,1600805061,bairiki,KI,1.33,172.98,75.2,94,20,14.99
180,1600805062,autazes,BR,-3.58,-59.13,95.38,43,67,3.22
181,1600805062,saint-francois,FR,46.42,3.91,64.4,82,100,4.7
182,1600805062,yeniseysk,RU,58.45,92.17,46.33,93,52,3.89
183,1600804559,hasaki,JP,35.73,140.83,69.8,94,75,10.29
184,1600805063,goundam,ML,16.41,-3.67,91.08,38,74,9.86
185,1600805063,nadym,RU,65.53,72.52,38.28,77,90,12.73
186,1600804542,kavieng,PG,-2.57,150.8,82.47,69,100,7.78
187,1600805063,xinqing,CN,48.23,129.5,49.03,94,100,5.17
188,1600804752,lasa,IT,46.62,10.7,57.2,93,75,3.36
189,1600805063,xuddur,SO,4.12,43.89,78.42,56,100,19.17
190,1600805063,lamu,KE,-2.27,40.9,77.22,87,18,15.08
191,1600804764,richards bay,ZA,-28.78,32.04,60.55,77,0,6.17
192,1600805064,san lorenzo,PY,-25.33,-57.53,87.8,22,0,3.36
193,1600804391,zyryanka,RU,65.75,150.85,35.17,87,64,7.02
194,1600805064,prince rupert,CA,54.32,-130.32,57.2,58,90,11.41
195,1600805064,tigil,RU,57.8,158.67,33.93,92,4,1.43
196,1600805064,tambilil,PH,5.96,124.67,79.39,71,98,2.86
197,1600805065,sao felix do xingu,BR,-6.64,-51.99,89.4,47,92,3.47
198,1600804553,namibe,AO,-15.2,12.15,64.6,88,59,4.59
199,1600805065,camacha,PT,33.08,-16.33,73.4,83,40,4.7
200,1600804881,almeria,ES,37.17,-2.33,73.4,94,92,5.82
201,1600805065,eirunepe,BR,-6.66,-69.87,90.23,53,83,1.68
202,1600805065,pavlovo,RU,55.97,43.09,59.0,67,97,11.18
203,1600805065,frolishchi,RU,56.42,42.65,55.6,77,99,10.6
204,1600805066,santa quiteria do maranhao,BR,-3.52,-42.55,93.0,39,30,11.21
205,1600804338,kruisfontein,ZA,-34.0,24.73,53.01,51,0,1.39
206,1600805066,yairipok,IN,24.67,94.07,70.25,95,100,0.45
207,1600804502,cidreira,BR,-30.18,-50.21,58.69,66,0,14.5
208,1600804383,westport,US,41.14,-73.36,71.6,26,1,18.34
209,1600805066,newport,GB,51.59,-3.0,61.0,91,74,1.01
210,1600804986,voh,NC,-20.97,164.7,68.0,77,0,3.2
211,1600804554,lebu,CL,-37.62,-73.65,52.61,74,42,19.08
212,1600805067,kawhia,NZ,-38.07,174.82,55.99,94,97,4.0
213,1600805067,jiaojiang,CN,28.68,121.44,69.01,94,100,4.14
214,1600804389,clyde river,CA,70.47,-68.59,33.8,69,40,6.93
215,1600805067,phalombe,MW,-15.81,35.65,65.43,77,15,8.57
216,1600805067,erzin,TR,36.96,36.2,80.01,74,20,2.17
217,1600805067,entre rios,BR,-11.94,-38.08,76.59,72,9,8.01
218,1600805068,peniche,PT,39.36,-9.38,68.0,91,100,5.01
219,1600805068,villa maria,AR,-32.41,-63.24,80.01,18,3,4.0
220,1600805068,karibib,NA,-21.93,15.83,60.35,40,2,3.56
221,1600805068,hami,CN,42.8,93.45,64.4,40,0,5.55
222,1600805068,lamar,US,33.67,-95.58,66.0,100,90,8.05
223,1600805068,koumac,NC,-20.57,164.28,69.08,76,0,4.16
224,1600804811,riyadh,SA,24.69,46.72,87.8,19,0,4.7
225,1600805069,cam ranh,VN,11.92,109.16,80.6,88,40,3.36
226,1600805069,maunabo,PR,18.01,-65.9,88.0,56,100,5.23
227,1600805069,almaznyy,RU,48.04,40.05,53.6,30,27,2.24
228,1600805069,setubal,PT,38.52,-8.89,69.8,88,40,8.05
229,1600804771,bonavista,CA,48.65,-53.11,53.26,70,100,14.41
230,1600804709,saint george,US,37.1,-113.58,93.99,21,1,4.7
231,1600805070,rizhao,CN,35.43,119.46,67.26,73,100,5.88
232,1600804581,charters towers,AU,-20.1,146.27,66.45,93,48,6.15
233,1600805070,omsukchan,RU,62.53,155.8,27.75,91,0,2.19
234,1600805070,songea,TZ,-10.68,35.65,68.2,43,3,4.27
235,1600805070,sioux lookout,CA,50.1,-91.92,69.8,49,40,8.05
236,1600805070,huanuco,PE,-9.93,-76.24,73.4,46,40,9.17
237,1600805071,kosonsoy,UZ,41.26,71.55,57.2,67,0,4.7
238,1600804864,formosa,AR,-26.18,-58.18,84.2,21,0,8.05
239,1600805071,verkhoyansk,RU,67.54,133.38,38.61,75,54,0.85
240,1600805071,rumonge,BI,-3.97,29.44,74.97,65,24,5.73
241,1600804939,talara,PE,-4.58,-81.27,75.2,60,2,11.41
242,1600805071,cherskiy,RU,68.75,161.3,34.77,85,99,6.44
243,1600805072,makakilo city,US,21.35,-158.09,82.4,58,20,5.82
244,1600804748,omboue,GA,-1.57,9.26,75.22,84,98,9.31
245,1600805072,labrea,BR,-7.26,-64.8,94.51,40,98,1.83
246,1600804542,cabo san lucas,MX,22.89,-109.91,89.6,70,20,8.05
247,1600805072,denpasar,ID,-8.65,115.22,78.8,100,20,2.24
248,1600804369,najran,SA,17.49,44.13,84.2,12,72,4.7
249,1600805072,channel-port aux basques,CA,47.57,-59.14,49.93,89,100,32.61
250,1600805073,taksimo,RU,56.34,114.88,43.03,85,97,0.96
251,1600805073,namatanai,PG,-3.67,152.43,79.52,75,100,2.71
